,identifier,genre,genreId
145,com.torvpn.free,Tools,TOOLS
146,pan.alexander.tordnscrypt.gp,Tools,TOOLS
147,com.cyber_genius.cyber_tor,Tools,TOOLS
148,com.inetric.orxy,Communication,COMMUNICATION
149,com.basusta.deepweb,Education,EDUCATION
150,com.nigamhub.tor,Communication,COMMUNICATION
151,com.tor.browser.vpn.unlimited.free,Communication,COMMUNICATION
152,org.openobservatory.ooniprobe,Tools,TOOLS
153,com.torit.tor,Business,BUSINESS
154,com.nigamhub.fasttor,News & Magazines,NEWS_AND_MAGAZINES
155,net.pryvate.onionbrowser,Tools,TOOLS
156,com.inetric.anonify,Communication,COMMUNICATION
157,com.looklike.deepweb,Education,EDUCATION
158,com.anydesk.anydeskandroid,Business,BUSINESS
159,com.teamviewer.teamviewer.market.mobile,Productivity,PRODUCTIVITY
160,com.screenconnect.androidclient,Communication,COMMUNICATION
161,com.realvnc.viewer.android,Productivity,PRODUCTIVITY
162,com.ticno.olymptrade,Business,BUSINESS
163,com.movrithhelguk.broker,Finance,FINANCE
164,in.upstox.pro,Finance,FINANCE
165,com.msf.angelmobile,Finance,FINANCE
166,abmm.heckyl.com,Finance,FINANCE
167,com.snapwork.hdfcsec,Finance,FINANCE
168,com.msf.kotak,Finance,FINANCE
169,com.hdfcsec.hdfcsecproterminal,Finance,FINANCE
170,com.tiim.goforexx24,Books & Reference,BOOKS_AND_REFERENCE
171,com.xfr.xtrade,Finance,FINANCE
172,com.git.flipmea.uaeexchange,Finance,FINANCE
173,com.indiainfoline,Finance,FINANCE
174,com.fusionmedia.investing,Finance,FINANCE
175,com.icicisecurity,Finance,FINANCE
176,com.zerodha.kite3,Finance,FINANCE
177,com.smallcase.android,Finance,FINANCE
178,com.zerodha.coin,Finance,FINANCE
179,com.smartspends,Finance,FINANCE
180,com.sbi.mf,Finance,FINANCE
181,com.tatacapital.moneyfy,Finance,FINANCE
182,com.yahoo.mobile.client.android.finance,Finance,FINANCE
183,com.bloomberg.android.plus,News & Magazines,NEWS_AND_MAGAZINES
184,com.cnbc.client,Finance,FINANCE
185,com.ndtv.ndtvprofit,Finance,FINANCE
186,com.businesstoday,News & Magazines,NEWS_AND_MAGAZINES
187,com.et.reader.activities,News & Magazines,NEWS_AND_MAGAZINES
188,com.divum.MoneyControl,Finance,FINANCE
189,com.network18.cnbctv18,News & Magazines,NEWS_AND_MAGAZINES
190,in.AajTak.headlines,News & Magazines,NEWS_AND_MAGAZINES
191,com.ndtv.india,News & Magazines,NEWS_AND_MAGAZINES
192,com.zeenews.hindinews,News & Magazines,NEWS_AND_MAGAZINES
193,com.indiatoday.tv,News & Magazines,NEWS_AND_MAGAZINES
194,com.indiatv.livetv,News & Magazines,NEWS_AND_MAGAZINES
195,com.toi.reader.activities,News & Magazines,NEWS_AND_MAGAZINES
196,com.ht.news,News & Magazines,NEWS_AND_MAGAZINES
197,com.indianexpress.android,News & Magazines,NEWS_AND_MAGAZINES
198,com.mobstac.thehindu,News & Magazines,NEWS_AND_MAGAZINES
199,com.htmedia.mint,News & Magazines,NEWS_AND_MAGAZINES
200,com.ft.news,News & Magazines,NEWS_AND_MAGAZINES
201,com.thomsonreuters.reuters,News & Magazines,NEWS_AND_MAGAZINES
202,com.cnn.mobile.android.phone,News & Magazines,NEWS_AND_MAGAZINES
